NM_PARTIDO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,VR_RECEITA,VR_DESPESA_CONTRATADA
21,32,1,2,4,5121.849999999999,0.0
15,49,1,0,1,1717.95,0.0
13,67,1,1,5,2183.75,0.0
8,31,1,2,1,367.56,0.0
12,41,1,0,1,912.45,540.0
6,66,0,2,1,187.5,0.0
15,46,1,2,1,2753.75,0.0
11,58,1,2,4,5121.849999999999,0.0
24,39,1,6,4,1278.0,20.0
9,38,1,6,1,6638.799999999999,1131.95
18,50,1,1,4,1087.3899999999999,0.0
23,54,1,2,1,1000.0,0.0
10,67,1,5,1,542.5,0.0
15,48,1,0,4,11639.58,10000.0
22,46,1,2,1,1652.4499999999998,0.0
14,40,1,2,5,2793.67,625.0
15,64,0,5,1,11492.5,6700.0
19,43,0,2,4,1779.95,0.0
15,63,0,5,4,22565.38,20000.0
21,60,1,0,1,4761.849999999999,0.0
19,39,0,5,1,3376.65,1900.7
13,39,1,2,4,11191.619999999999,8050.0
6,68,1,2,5,187.5,0.0
8,55,1,5,1,9910.76,4042.65
2,37,1,2,1,570.0,562.0
19,32,1,5,1,10975.13,6635.0
1,44,0,2,1,1451.3,0.0
20,42,1,2,5,4514.0,851.35
0,59,1,2,4,1179.7,0.0
2,34,0,0,1,398.49,0.0
1,60,0,5,1,1741.3,0.0
3,50,0,2,1,8728.45,3011.06
13,37,1,5,4,1727.95,0.0
20,48,1,3,1,2649.5,0.0
2,37,0,2,1,0.0,0.0
18,50,1,2,4,1087.3899999999999,0.0
19,34,1,2,1,829.9499999999999,0.0
10,35,0,3,1,0.0,0.0
7,42,1,2,4,0.0,0.0
3,66,0,2,4,9468.45,3450.0
3,36,1,0,5,2838.38,0.0
11,51,0,0,5,4496.849999999999,0.0
11,35,0,2,4,5046.849999999999,0.0
8,40,0,2,4,4655.06,3803.15
7,54,1,5,1,995.0,995.0
13,25,1,6,4,1442.37,0.0
24,41,1,3,1,1096.8,0.0
24,38,0,2,5,569.0,0.0
12,44,1,0,4,372.45,0.0
8,39,1,5,4,2467.56,459.0
9,38,1,5,1,4761.849999999999,0.0
5,62,1,1,1,2791.58,2519.58
4,30,1,2,1,1871.4299999999998,926.95
23,39,0,2,4,950.0,0.0
24,45,1,5,4,24630.45,12583.029999999999
16,38,1,5,4,5389.849999999999,738.0
20,40,1,6,5,2305.12,0.0
7,42,1,2,4,0.0,0.0
18,59,1,0,4,1387.04,0.0
8,63,1,2,1,1017.56,604.0
24,41,0,2,5,4085.0,0.0
11,30,1,5,4,5421.85,450.8
16,31,1,0,4,4921.85,0.0
1,45,0,2,1,1741.3,0.0
